id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality
8824,21AZ,small_airport,White Mountain Lake Airport,34.350877,-109.964046,6066,US,US-AZ,Show Low
7721,11M,small_airport,Fulton-Itawamba County Airport,34.35200119,-88.37729645,450,US,US-MS,Fulton
19855,KFDR,small_airport,Frederick Regional Airport,34.35200119,-98.98390198,1258,US,US-OK,Frederick
14652,84NM,small_airport,Nalda Ranch Airport,34.35340118,-108.1620026,7531,US,US-NM,Pie Town
8161,19SC,small_airport,Sexton Airport,34.353833,-81.802358,593,US,US-SC,Newberry
324469,US-0576,small_airport,Spring Creek Ranch Airport,34.357027,-96.734861,933,US,US-OK,Tishomingo
6698,03AR,heliport,Hscmh Heliport,34.35760117,-92.78849792,350,US,US-AR,Malvern
45675,9NR9,heliport,210 Investors Heliport,34.358889,-77.860556,28,US,US-NC,Castle Hayne
341403,US-3212,small_airport,Henson Farms Airport,34.361669,-101.083342,2650,US,US-TX,Quitaque
20845,KPMU,small_airport,Panola County Airport,34.36349869,-89.89260101,221,US,US-MS,Batesville
24454,SC56,small_airport,Thomason Airfield,34.36349869,-81.99320221,642,US,US-SC,Mountville
350086,US-5881,heliport,Oak Springs Heliport,34.36355,-117.10806,5125,US,US-CA,Hesperia
10644,3N9,closed,Alamo Navajo Airport,34.364422,-107.496862,6460,US,US-NM,Alamo
323167,5AL0,heliport,Marshall Medical Center North Heliport,34.365172,-86.422975,1024,US,US-AL,Guntersville
24491,SC93,small_airport,Paul's Plantation Airport,34.36600113,-79.82420349,180,US,US-SC,Darlington
351098,US-6309,heliport,Santa Paula Hospital Heliport,34.36601,-119.06421,579,US,US-CA,Santa Paula
354960,US-6852,small_airport,Warren Airport,34.36688,-116.53189,3087,US,US-CA,Landers
6582,01CA,heliport,SCE Lugo Substation Heliport,34.368241,-117.370059,3733,US,US-CA,Hesperia
19157,K92F,small_airport,Chattanooga Sky Harbor Airport,34.368698,-98.682098,1135,US,US-OK,Chattanooga
10698,3O5,small_airport,Walters Municipal Airport,34.369052,-98.406315,1058,US,US-OK,Walters
8704,1TX8,small_airport,Hart Aerial Airport,34.36949921,-102.0839996,3655,US,US-TX,Hart
12808,61AZ,small_airport,White Mountain Ultralightport,34.36970139,-109.6969986,6546,US,US-AZ,Show Low
342950,US-3530,closed,Pony Landing Strip,34.37143,-116.60999,2930,US,US-CA,Landers
12146,57OK,heliport,Atoka Memorial Hospital Heliport,34.371787,-96.140778,600,US,US-OK,Atoka
347594,US-5131,closed,Walters Private Airport,34.37284,-98.40101,1061,US,US-OK,Walters
323163,30AL,heliport,Med Flight 2 Heliport,34.373001,-87.0805,650,US,US-AL,Danville
343838,US-3869,small_airport,Santa Maria Ranch Airport,34.37376,-113.18861,1804,US,US-AZ,Bagdad
334736,US-1373,closed,Signal Auxiliary Army Airfield 2,34.374221,-113.909812,,US,US-AZ,Signal
341404,US-3213,closed,Bill Pigg Airport,34.37648,-101.07949,,US,US-TX,Quitaque
339448,US-2750,heliport,Platform Harmony Helipad,34.37674,-120.16767,,US,US-CA,Goleta
11345,4AR6,closed,Williams Ranch Airport,34.376985,-93.633599,750,US,US-AR,Caddo Gap
20292,KL26,small_airport,Hesperia Airport,34.37720108,-117.3160019,3390,US,US-CA,Hesperia
7184,0GA2,small_airport,"Airnautique, Inc. Airport",34.37789917,-82.9457016,720,US,US-GA,Hartwell
24414,SC16,small_airport,Curry Airport,34.37789917,-80.00530243,199,US,US-SC,Hartsville
11968,53NC,small_airport,Mynatt Field,34.37810135,-79.08059692,95,US,US-NC,Lumberton
350046,US-5849,heliport,Mount Gleason Heliport,34.37956,-118.15368,5600,US,US-CA,Palmdale
13217,6CL3,heliport,William Shells County Heliport,34.38029861,-118.8690033,720,US,US-CA,Fillmore
16313,AR22,small_airport,Tommy's Flying Service Inc Airport,34.38150024,-91.95850372,215,US,US-AR,Sherrill
9947,30XS,closed,Farwell Spraying Service Inc Airport,34.382301,-103.017998,4115,US,US-TX,Farwell
3473,KCVS,medium_airport,Cannon Air Force Base,34.382801,-103.321999,4295,US,US-NM,Clovis
351077,US-6294,heliport,Golden Oak Ranch Heliport,34.3834,-118.46875,1790,US,US-CA,Santa Clarita
347638,US-5157,small_airport,Cole Airport,34.38356,-116.55577,2848,US,US-CA,Landers
3942,KUOX,medium_airport,University Oxford Airport,34.38430023,-89.53679657,452,US,US-MS,Oxford
14495,80L,heliport,Los Angeles County Fire Station 123 Heliport,34.38486,-118.41451,1805,US,US-CA,Santa Clarita
15363,92OK,closed,Flying W Ranch Airport,34.385142,-96.289729,618,US,US-OK,Atoka
343069,US-3632,closed,Parsons Airport,34.38539,-119.47886,219,US,US-CA,Carpinteria
9045,25CN,closed,Platform Holly Heliport,34.389702,-119.905998,87,US,US-CA,Ellwood
349928,US-5817,small_airport,Russell Spraying Airport,34.38972,-102.72084,3983,US,US-TX,Muleshoe
16628,CA98,heliport,Platform Ocs P-0188 Hondo Heliport,34.39070129,-120.1220016,142,US,US-CA,Santa Barbara
342948,US-3528,closed,Carpinteria Airport,34.391,-119.508,50,US,US-CA,Carpinteria
333897,US-1233,heliport,Rotorcraft Support Inc/RSI Heliport,34.391228,-118.932997,403,US,US-CA,Fillmore
345166,01OL,small_airport,Spring Creek Ranch East Airport,34.391667,-96.690833,1060,US,US-OK,Tishomingo
17510,GA36,closed,Foothills-Holcomb Airport,34.391701,-84.241699,1425,US,US-GA,Marble Hill
9242,29F,small_airport,Joe Vaughn Spraying Airport,34.392251,-101.759918,3500,US,US-TX,Kress
9303,2AL5,small_airport,Flying J Ranch Airport,34.39279938,-85.66500092,1430,US,US-AL,Fort Payne
336146,US-1646,small_airport,Havasu Palms Airstrip,34.394764,-114.280815,,US,US-CA,Needles
341405,US-3214,small_airport,Quitaque North Airstrip,34.39758,-101.04547,,US,US-TX,Quitaque
340937,US-3059,closed,Newhall Airport,34.39814,-118.54721,1211,US,US-CA,Santa Clarita
19299,KAQR,small_airport,Atoka Municipal Airport,34.39830017,-96.14810181,590,US,US-OK,Atoka
8130,US-0062,heliport,Henry Mayo Newhall Memorial Hospital Rooftop Heliport,34.398552,-118.553525,1325,US,US-CA,Valencia
340935,US-3057,heliport,Henry Mayo Newhall Memorial Hospital Garage Heliport,34.39901,-118.5518,,US,US-CA,Santa Clarita
23756,OK12,small_airport,Jones Farm Field,34.399167,-98.266389,1042,US,US-OK,Walters
16469,AZ82,small_airport,Mogollon Airpark,34.399297,-110.529553,6657,US,US-AZ,Overgaard
19115,K8A1,small_airport,Guntersville Municipal Joe Starnes Field,34.3993988,-86.27020264,615,US,US-AL,Guntersville
322447,70SC,heliport,Robinson Nuclear Power Plant Heliport,34.4007167,-80.1549694,236,US,US-SC,Hartsville
342951,US-3531,closed,Old Woman Springs Landing Strip,34.40142,-116.71293,3154,US,US-CA,Landers
20100,KHVS,small_airport,Hartsville Regional Airport,34.40309906,-80.11920166,364,US,US-SC,Hartsville
326563,US-0822,heliport,Gray Ranch Company Heliport,34.403607,-96.758944,1100,US,US-OK,Sulphur
347224,US-5014,heliport,Frederick Memorial Nursing Center Heliport,34.40375,-99.01247,1312,US,US-OK,Frederick
14420,7TS8,small_airport,Ott Farms Airport,34.40380096,-102.4540024,3817,US,US-TX,Dimmitt
15596,99A,small_airport,Smith's International Airport,34.40620041,-91.95870209,218,US,US-AR,Sherrill
345787,US-4558,closed,Hillcrest Airport,34.40798,-103.16699,4241,US,US-NM,Clovis
18911,K5M0,small_airport,Hartselle-Morgan County Regional Airport,34.40823444,-86.93295056,628,US,US-AL,Hartselle
353813,US-6775,heliport,Santa Clarita Valley Sheriff's Station Heliport,34.40842,-118.50442,1460,US,US-CA,Santa Clarita
336577,US-1830,small_airport,Dillon's Landing Strip,34.41136,-112.7279,3924,US,US-AZ,Kirkland
10475,3GE3,small_airport,Broad River Air Park,34.41189957,-83.18419647,690,US,US-GA,Carnesville
20452,KM73,small_airport,Almyra Municipal Airport,34.41230011,-91.46630096,211,US,US-AR,Almyra
22761,NC18,closed,Brickhouse Field,34.414101,-77.949699,31,US,US-NC,Burgaw
14061,7CA1,small_airport,Abraham Ranch Airport,34.41469955,-116.6230011,2850,US,US-CA,Lucerne Valley
23284,NM66,small_airport,Poco Loco Airport,34.41519928,-108.0770035,7420,US,US-NM,Pie Town
23260,NM42,small_airport,Aero Tech Inc Airport,34.415372,-103.134595,4250,US,US-NM,Clovis
16741,CL22,heliport,Sheriff's Station Heliport,34.41573,-118.551377,1200,US,US-CA,Valencia
351078,US-6295,heliport,Montecito Ranch Private Heliport,34.41918,-119.58493,182,US,US-CA,Carpinteria
345847,US-4582,heliport,Plains Regional Medical Center Heliport,34.4196,-103.23497,4313,US,US-NM,Clovis
344786,US-4178,closed,Hillside Airport,34.41994,-112.91869,3862,US,US-AZ,Hillside
9343,2CA8,small_airport,B & E Ranch Airport,34.42060089,-116.6110001,2793,US,US-CA,Yucca Valley
